LCLid,stdorToU,mean_daily_kwh,archetype_k2,wd_0,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,wd_8,wd_9,wd_10,wd_11,wd_12,wd_13,wd_14,wd_15,wd_16,wd_17,wd_18,wd_19,wd_20,wd_21,wd_22,wd_23,wd_24,wd_25,wd_26,wd_27,wd_28,wd_29,wd_30,wd_31,wd_32,wd_33,wd_34,wd_35,wd_36,wd_37,wd_38,wd_39,wd_40,wd_41,wd_42,wd_43,wd_44,wd_45,wd_46,wd_47,we_0,we_1,we_2,we_3,we_4,we_5,we_6,we_7,we_8,we_9,we_10,we_11,we_12,we_13,we_14,we_15,we_16,we_17,we_18,we_19,we_20,we_21,we_22,we_23,we_24,we_25,we_26,we_27,we_28,we_29,we_30,we_31,we_32,we_33,we_34,we_35,we_36,we_37,we_38,we_39,we_40,we_41,we_42,we_43,we_44,we_45,we_46,we_47
MAC000002,Std,11.554969864109587,evening_peak_typical,0.0219384435131102,0.0195436314377736,0.0163985351953393,0.0140132074905228,0.0118873459915979,0.0110859138203971,0.0103302100275193,0.0099108638618614,0.009956253511456,0.0094884691376486,0.0099467691070631,0.0095890715699591,0.0097669041523261,0.0098857979359658,0.0116888509568035,0.0129296142886329,0.0189660989898639,0.0222128138169208,0.0243166579485049,0.0240565142851566,0.0220573373644956,0.0221023883192348,0.023764191392618,0.0246780815016204,0.0254314141934,0.0219760425035721,0.0208145416264233,0.0184702001316061,0.0179834469490129,0.0160513382488132,0.0156286047958721,0.0159984965333227,0.0164141167507148,0.0187144234769778,0.0221542137469217,0.0241696496804148,0.0284830212390727,0.0482241316270744,0.035844274030629,0.0474094889677235,0.0334396387882983,0.0302698153486968,0.0299083916939627,0.0283085760117346,0.0280623202262473,0.0267578759273669,0.0249460159257201,0.0240259959600282,0.0201332160529195,0.0194399234891137,0.015827671148096,0.0144791180696989,0.0118152899559675,0.0106339194272425,0.0092608039837277,0.0090991677745662,0.0089272312187423,0.0089850716269227,0.0090635127284276,0.0086562528680891,0.0091324458176288,0.0089494165807841,0.0100816623792738,0.01017674250231,0.0134997928024259,0.0156993129819971,0.0197132789220763,0.0202663282251702,0.0260353146903928,0.0272190622221937,0.0249070305636963,0.0243872592244316,0.0233104768310465,0.0254315559091128,0.0229301563389016,0.0204850125081535,0.0213359796093276,0.0221742693607636,0.0196221603915998,0.0208867260279815,0.0215538715579523,0.0215570408161534,0.0213415259498381,0.0252691272863591,0.0294090743894613,0.0451099721194091,0.0401047958174439,0.0426093648835566,0.0317282368987196,0.0290390542439787,0.0282380042073985,0.0298591205428664,0.0291222494308688,0.0256399398454338,0.0245726654643523,0.0222807943134246
MAC000003,Std,19.258252064931504,overnight_dominant,0.0925844197797325,0.0668288416166226,0.0377224331843746,0.0463026848902867,0.038444816377351,0.0383716886709828,0.043000672503853,0.0380665288275541,0.0387086691859751,0.0403635291599069,0.0379861643077352,0.0397802864491222,0.0408360925337045,0.0101501256241395,0.0103386765408639,0.0114620762246389,0.0110733135261897,0.0108669748087616,0.0097665016491453,0.0099718521543251,0.0104450081787722,0.0109120372872804,0.0119755513088133,0.0114231406422948,0.0102959857519766,0.0089721766440271,0.0075032979582748,0.0064838581832482,0.0058751194581097,0.0054944601000959,0.0063057823558834,0.0074762209426736,0.0091411609384725,0.0111531610758457,0.0121931556458711,0.0116526035460955,0.0106511492537506,0.0102712804655354,0.0091834564226962,0.0097508878956234,0.0075618001233694,0.0074252291906656,0.0069133390469046,0.0068427768915655,0.0068510778744505,0.0059201819563927,0.0051663736336873,0.0935333792123562,0.0940569145937141,0.0722317661996306,0.0383378026689379,0.0445204919000759,0.0375691997586093,0.0357333772412083,0.0418160140938393,0.036705162348427,0.0379617106190474,0.0386241048344751,0.0351012550618187,0.0353177773466647,0.037847292287984,0.0081344690304293,0.0098840930618261,0.0108620354089939,0.010655774746055,0.0111981068871654,0.0112396668714889,0.0114618332074405,0.0113012372186348,0.0139395265938378,0.0178497566725217,0.016471607120214,0.0148594901974432,0.0121457771469865,0.0094438650797327,0.0083515045554273,0.0063468766182926,0.0054664206541058,0.0053412276149091,0.0056675504547825,0.0061693487840218,0.0068189159464114,0.0083899859710849,0.0087999418658315,0.0090893224974174,0.010463367411224,0.0109538778434866,0.0100739350168346,0.0096562827773861,0.0084489908870998,0.0069164023293924,0.0066403619396882,0.0067840260830287,0.00604620808973,0.0049923289810822,0.0933130154815588
MAC000004,Std,1.6951972602739729,evening_peak_typical,0.0144726381097698,0.0206310139742037,0.0236647190713805,0.0231371181849149,0.0214929136982142,0.0164488672922636,0.0195689897760166,0.0246858087180314,0.0170810786993214,0.0264209788748124,0.0172107047791858,0.0198941920465535,0.019716808989897,0.0212040976957093,0.0230916353498748,0.0187298314695262,0.0214155928786459,0.0195439742167445,0.0274693582224875,0.0216179914945745,0.0211335993013971,0.0227300468113058,0.0143680275891775,0.0268530658076937,0.0250792352411286,0.0214019480281339,0.0191027907168553,0.014520395086562,0.0205559672963875,0.0250496713983525,0.0217612624249509,0.0194893948146964,0.0140860340119287,0.0185297069953496,0.0269008227844858,0.0217180537316628,0.0203376496881948,0.0173175894415301,0.0178838507377797,0.0225685827469133,0.026284530369692,0.0214929136982142,0.019343849742568,0.0189322300854548,0.0202193943170905,0.021788552125975,0.0228960591592022,0.0201564623051874,0.0190194483225168,0.0205535457144419,0.0140924202024653,0.0228322962199657,0.0228770873846934,0.0227651094728741,0.0159120612695298,0.0168806702067672,0.0230170597744676,0.0273450060662856,0.0155425341605259,0.0140313759330609,0.0232858067628341,0.0177876912925039,0.0321656551701086,0.0189466626798342,0.0178212846660497,0.0152961827545233,0.0228602906979205,0.021393380053087,0.0225243569624625,0.0270762590779191,0.0173285818540446,0.0237841084704302,0.0258612987346791,0.0199152716170716,0.019668920211069,0.0205759412968058,0.0169198624759039,0.0248087063635772,0.0240416576676147,0.0137788820493711,0.0184763554501929,0.0227427138905102,0.0182188062530084,0.0264827761452765,0.0165951265316278,0.0168918679979491,0.0249262831709876,0.0230506531480134,0.0206767214174432,0.02036878215994,0.0233697901966986,0.0176589166939117,0.020872682763127,0.025547760581585,0.0191818162946548,0.0242295317196671
MAC000006,Std,2.8883369863013697,evening_peak_typical,0.0110455065963048,0.0105381158339303,0.0098030497294648,0.0105420188397948,0.0099474609464483,0.0092761439377683,0.0107020420802359,0.0092527259025818,0.0109128043969145,0.0118170007555048,0.0114293021729726,0.0148080042496043,0.0149563184724523,0.0181971143418746,0.0265690619210526,0.0367168771685411,0.0365048138499077,0.0337492917096281,0.0355394703994415,0.023692546598976,0.0264610787588037,0.0255763974295354,0.0219570099912645,0.0198754068635746,0.0234505602353821,0.019161156790386,0.0169741725043567,0.0171341957447979,0.0183324185451744,0.0173189380223804,0.0190557756320467,0.0168427713069213,0.021678595572936,0.0219036689111175,0.0259862130452994,0.0266471220383409,0.0329882055660665,0.0315232773649547,0.0319226849650802,0.0312903980150443,0.0315362873845027,0.0309729535380716,0.0274173151955862,0.0248634483583016,0.0205805499230795,0.0164433637067958,0.0144489277100778,0.0116574369767206,0.0123255967988903,0.0114629803515142,0.0112350532414352,0.010551271911198,0.0107511464538827,0.0115716840501673,0.0100673651236455,0.0106564690389268,0.0113332372273154,0.0112701189506781,0.0125780699054394,0.0161267196808241,0.0170629741176103,0.0203135653644301,0.0275897000323383,0.0334667129014536,0.0393156732031746,0.0345537498879845,0.0334316471922107,0.0266814981629464,0.0207834458682854,0.0166562118903923,0.0144435656371634,0.0165194556243449,0.0162108773830071,0.0167088104542567,0.0191914626686563,0.0198542045733477,0.0187882070123626,0.0174171377809639,0.0203521376445973,0.0205940910383735,0.0199488819883036,0.0203451245027487,0.0242268985159412,0.0279789294049349,0.0321517488048437,0.0324007153404685,0.0334176209085135,0.0331300820927215,0.032765398716595,0.031604723740654,0.0266218864572334,0.0260117431164064,0.0223158173622015,0.0176170123236487,0.0158216480104106,0.0137769275425561
MAC000007,Std,9.369799998082192,evening_peak_typical,0.0084524975616798,0.0080279607470715,0.0080323060573541,0.0082978045156199,0.0082304522062398,0.0081439805316164,0.0082656492195288,0.0077372594891667,0.0077446465166471,0.0079206315830917,0.0078115642949989,0.0078115642949989,0.0082730362470091,0.0138089615470195,0.0182685534900341,0.0270686758308675,0.0336926668256366,0.0293968931237284,0.0382374268936429,0.031514362824431,0.0238283779965987,0.0241121267580513,0.0224107656412821,0.0223448890661249,0.0236697742147375,0.0229150155889917,0.0215470900547897,0.0203747254274551,0.0181351524643588,0.0163861651190724,0.0163353249453131,0.016828083131358,0.0184336752373192,0.0254895900741769,0.0511625522422789,0.0422881250956134,0.0418627191754954,0.039564919228425,0.0280007449299346,0.0303976180818072,0.0290870724571272,0.0286673155272828,0.0324572951122983,0.0254500478375116,0.0234803186429638,0.0162419007742376,0.0122363937557528,0.0095553276192574,0.0072148031421682,0.007204967619233,0.006968915068789,0.0065862238127662,0.0065549289670634,0.0068339001630427,0.0067668397793938,0.006699779395745,0.0064386909687388,0.0063322884933492,0.0065397286134364,0.0065620820746526,0.0077736396725753,0.0121692242861456,0.015643846297605,0.0279901101754114,0.0334434603949086,0.0287832107111237,0.0359631425432083,0.0340863458500752,0.0301467719347309,0.0293098583467932,0.0323651296940766,0.0317428089761598,0.0322604455991325,0.0278309534421376,0.0238645551945061,0.0214906177027504,0.0198802742673154,0.0176252570998165,0.0194081691664275,0.0186660342540468,0.0216578215032344,0.0225680544439615,0.0430563426775323,0.0415470369762087,0.0427192524823907,0.0401959940485379,0.0246674915213951,0.0248078712578333,0.025403367554049,0.0258316597815392,0.0280455465804001,0.0224151567692422,0.0224571812763288,0.0150510325061491,0.0109227952887256,0.0075063916251451
MAC000009,Std,8.255619179178082,evening_peak_typical,0.0083473909520761,0.0086740870885013,0.008420979608344,0.0085920615162281,0.0089281320037703,0.0087336142180939,0.0090064078355967,0.0090935893009842,0.0092796701706554,0.0089309443091054,0.0093921623840586,0.0092904506744399,0.0092665460790917,0.0113256223019268,0.0234836869830376,0.0231766769839579,0.0285692724639757,0.0297021627964574,0.0292479754848419,0.0248996827192509,0.0268687651244916,0.0372039872777859,0.0640816583639409,0.0405450060627338,0.0527007271091936,0.0217203714910701,0.0184280994256737,0.0184890327079338,0.0194175621860664,0.0168194607740074,0.021655688515235,0.0200990775122677,0.0273895103759092,0.0229006023435642,0.0287473851351975,0.0234677505861388,0.0236083658528929,0.0234836869830376,0.0230126258394115,0.0231480852130513,0.0239978701418016,0.0236528940206983,0.0288495655623721,0.0217531817668511,0.0250477974668985,0.0143661930867052,0.0128864517628967,0.0092974814377776,0.0082099698749631,0.0077332399776197,0.0080056570618159,0.0077718323978808,0.0083041807832476,0.0079625243568182,0.0082531025799608,0.0086185955012574,0.0081747826682544,0.0082973703561427,0.0087729651823019,0.0084449296100823,0.0089103087955841,0.009518706950289,0.0156560368429926,0.0243563573560018,0.0201634045152557,0.0269261586304264,0.0216310515563627,0.0225311630053944,0.0227820137370917,0.0307388627379892,0.0496854710573423,0.0639555856439654,0.0433642595192991,0.0432848046499156,0.0171509255925193,0.0174880417342121,0.0194108523201637,0.0162167620079632,0.0221475089451514,0.0189500134193984,0.027351810324483,0.0240977155210427,0.02961156073039,0.0233676553675706,0.0240037360350384,0.0296998097599306,0.0336137115246201,0.0314349919771312,0.0280666296677835,0.024796831209611,0.0293472654662202,0.0218217435153001,0.0233677104681135,0.0141112049613633,0.012543671656051,0.009346512447686
MAC000010,Std,25.51351232082192,evening_peak_typical,0.0111429102497068,0.0097702694321248,0.0092070054705861,0.008703932992868,0.0084449873962289,0.007513547099646,0.0072529210301085,0.0071100808337324,0.0071038172529287,0.0084541536120392,0.0096106244914863,0.0108908393302025,0.0128129947703309,0.0142889083013185,0.0181304693626632,0.0200362783540426,0.0239166430775943,0.0235428142122463,0.0236416565880103,0.0229118730850836,0.0209157767915883,0.0210708385632136,0.0202744472559532,0.020926317893939,0.0241239522946149,0.0249267600293276,0.0239426139765589,0.0242142395050687,0.0231983172527681,0.0220229028759236,0.0228130306176574,0.0223632750382872,0.0234296114928211,0.0281387548958811,0.0372380572084809,0.0435335669972108,0.0420611671211756,0.0380442258126055,0.0317879781038123,0.0305716212505177,0.0309856287715523,0.0298228941890853,0.0301307262700456,0.0260076096436173,0.0233115200485785,0.0201444397311574,0.0164072207292317,0.0131057786963764,0.0095017095700326,0.0093891369347458,0.0087596712988491,0.0083296510714511,0.0084230393026537,0.0072068204776895,0.0067123696101594,0.0079151955492534,0.0094626168220873,0.0093261541741673,0.0107982857102176,0.0111772681833538,0.0122610060291701,0.0128278509105736,0.0146453017201406,0.0177672918988461,0.0213323333657193,0.0216816343080082,0.0210268308885157,0.0228497111378175,0.0214836367790631,0.0202891361835988,0.0210007689117643,0.0229651795684084,0.022843557685912,0.0268111097048632,0.0245694302223093,0.0259289889782849,0.0244792995391172,0.0229883455326739,0.0251098511932699,0.0258178642225515,0.0287559738427468,0.0317262988554021,0.0377860366482175,0.0444741543120523,0.0444267363290682,0.0372803648589355,0.032246087506528,0.0308188402728339,0.0295150245900933,0.0276740458463724,0.025120348283836,0.0242798540944216,0.022046138021806,0.0192300122901925,0.0160902854783654,0.0128487512838577
MAC000011,Std,14.378449314246572,evening_peak_typical,0.0137315894224142,0.0112280429516531,0.0104224930739748,0.0099990733895268,0.0095842894156603,0.0092782614219292,0.0089978706939869,0.0103480100702096,0.017343205507161,0.0156775928287588,0.0223057705659975,0.0181476759210167,0.0176719022141819,0.0182181109354468,0.0196408442807317,0.0189089677819649,0.0159714768544847,0.0140208857268937,0.0140627149500227,0.015226107084921,0.0157912593313415,0.0162575347674961,0.0175885136608661,0.0176843161021159,0.0161414923795709,0.0165479105627848,0.0158575934211914,0.0172795171686092,0.0170309705694629,0.018706568288225,0.0229097305747895,0.0247553438186378,0.0310167736951328,0.0360678547604429,0.0359642262334651,0.0379561069332336,0.0330502138060478,0.0319891007873891,0.0319251425558951,0.0325207367470479,0.0334555524444793,0.0340516863135702,0.0327700929170746,0.0314272398676818,0.0282698081863296,0.0256075805606204,0.020358417802888,0.0162338306526723,0.0160498202085453,0.0132599024446904,0.0109226319530437,0.0099705790103502,0.0095789774247812,0.0090977555758481,0.0095101386717624,0.010144624159492,0.0116837547694399,0.0123091483463934,0.0144840632884675,0.0145464078195033,0.0138482789563413,0.017174619455984,0.0186449113129131,0.0195833263894426,0.0222271242236244,0.0209276303399034,0.0218614994610448,0.0190241738767146,0.0206750051047685,0.0233577682059055,0.0234519344246576,0.0197313946506527,0.0212263645511169,0.0209347739191423,0.020969193360594,0.0198112736459847,0.0190605414548767,0.0185578887383422,0.0222011472707506,0.0240052420726587,0.0277757873559319,0.0295396181763727,0.0282388255131973,0.0310910877431458,0.0303020398371654,0.0303611370623832,0.0352811597015724,0.0335653863835739,0.0299338173857926,0.0313430634911402,0.028766805695465,0.0289298106672359,0.0240052421376009,0.023757162857854,0.0190170302325335,0.0192601306712971
MAC000012,Std,2.2139452049315067,evening_peak_typical,0.015484353104599,0.0145765258440777,0.013660150304267,0.0118957854589599,0.0106956070467452,0.0112495355446905,0.0119932358428577,0.0135490226735064,0.0129061920709526,0.0119983648104313,0.0110495058093213,0.0115555639432466,0.0131643501054888,0.0141234670417459,0.0172470082940483,0.0172247827678961,0.0197824279312483,0.0233624472975981,0.0257559654985961,0.0271732702047585,0.0235829929032615,0.0235128970130894,0.0265646327193618,0.0228940015925456,0.0250926190257481,0.0231419016919347,0.0204201295662284,0.019939716270171,0.0206885455359118,0.019110533179111,0.0220477217719415,0.0220340446960442,0.0239881813415733,0.0294915635480108,0.0312610571899258,0.0332869995524504,0.0291222778827139,0.0320851114843779,0.0304181970229686,0.028505092118028,0.0264876982057583,0.0266484058563968,0.026704824499706,0.0246737533405734,0.0248669444525111,0.0223383634387425,0.0178094850712828,0.0148347474345937,0.0169792343119141,0.0157853468345234,0.0133392239955085,0.0126614908786438,0.0139990039172244,0.0143849976129222,0.0151300552115946,0.013841913459673,0.013178691056363,0.0115528810782096,0.0130295313791929,0.0161040160484134,0.0162117352193058,0.0179397302523713,0.0164810331465368,0.0194612635412264,0.0251614030009491,0.0277511514011539,0.0296272602941965,0.0282179344750209,0.0276479205290487,0.0221901492038338,0.0286532994573777,0.0266335650031452,0.0269746757109712,0.0226389790825522,0.0178993355632867,0.0144972050826018,0.018886761296467,0.0163463841829213,0.0187296708389156,0.0198831636272217,0.019524099724247,0.022145266215962,0.0270060938024815,0.0273247630163715,0.0282044695786594,0.0324773300240578,0.0313776968211979,0.0276209907363256,0.0229711131928037,0.0225492131068085,0.0246632018355718,0.0249728944518875,0.0250716370252055,0.0199011168223704,0.0163059894938366,0.0160651174589245
MAC000013,Std,4.853419178082192,evening_peak_typical,0.0164448269508913,0.0161980757123664,0.0141885903864881,0.0137479068646497,0.0137691921152573,0.014064032253303,0.0129776961297014,0.0127861288742332,0.0126710308524293,0.0131550732180979,0.0129619292773995,0.013849603061997,0.0157282235137695,0.0162508946675778,0.0158780086106376,0.0165772685102273,0.0196376145420279,0.0214437074732116,0.0184984594632149,0.01887055717754,0.0174113349969983,0.0157755240706752,0.015121199700146,0.0154672821081729,0.016425906728129,0.0184850576387583,0.018754670813121,0.0192655168277028,0.0215036215119588,0.0214531675845927,0.0209911988121468,0.0232080182457952,0.0253239298247114,0.0268367593030796,0.0274106727268691,0.029408332913521,0.0324439886610342,0.0336622296645761,0.0351797891986349,0.0354352122059258,0.0351403720678801,0.0355495218851147,0.0329377428013034,0.0290504253662677,0.0256266533889081,0.0232702973123878,0.0212702720978906,0.0178924818886754,0.0188683851980712,0.0184421835480409,0.0172512088437506,0.0160263769990373,0.0156380156824209,0.014546620802904,0.013845578836499,0.0133974696250185,0.0144251334166804,0.0134532343268916,0.0127004108516044,0.014194108223206,0.0163131668943848,0.0172054021243548,0.0183326457407901,0.0185059146358959,0.0200533851128752,0.0210651161325733,0.0200434271303978,0.0186234188291286,0.0180597970209109,0.0179622087926329,0.0159108644023001,0.0164007971401854,0.0172372676682823,0.0182270911265303,0.018816603689189,0.0200115615864703,0.0219951916959572,0.0223735950300963,0.0236840655241148,0.0238214856823021,0.0245085864732388,0.0261934771084054,0.0279998551297956,0.0295533003962613,0.0299834852392825,0.0305869389774096,0.0307701658549927,0.0324132329637544,0.0325865018588602,0.0324291657357182,0.02899565337753,0.025775241844357,0.0223994857845374,0.0199498220951108,0.01945789776073,0.018965457086517
