date,location_id,temperature_max_c,temperature_min_c,temperature_mean_c,wind_speed_mean_ms,cloud_cover_pct,precipitation_mm
2016-01-01,C2,6.1,-0.5,3.4,5.32,84,0.9
2016-01-02,C2,8.7,6.2,7.7,5.38,99,3.1
2016-01-03,C2,7.7,4.8,6.7,3.75,89,10.7
2016-01-04,C2,7.1,4.4,6.0,3.76,86,0.1
2016-01-05,C2,7.3,5.6,6.3,3.15,89,2.7
2016-01-06,C2,7.3,3.4,5.8,2.35,81,0.0
2016-01-07,C2,6.3,3.8,5.1,7.52,88,12.2
2016-01-08,C2,6.4,1.8,3.7,4.07,70,4.1
2016-01-09,C2,7.9,2.4,5.6,4.85,98,10.1
2016-01-10,C2,5.6,2.2,4.1,6.51,82,4.5
2016-01-11,C2,5.0,-0.6,2.7,2.41,89,0.3
2016-01-12,C2,4.7,2.9,3.8,5.61,94,7.9
2016-01-13,C2,4.0,1.6,3.0,4.54,87,3.9
2016-01-14,C2,2.7,0.6,1.5,5.35,75,3.2
2016-01-15,C2,4.1,-1.0,1.4,3.68,38,0.1
2016-01-16,C2,2.6,-3.4,-0.5,1.8,67,2.7
2016-01-17,C2,2.2,-0.0,1.0,4.5,100,1.0
2016-01-18,C2,4.1,2.1,2.9,3.19,100,0.1
2016-01-19,C2,4.2,0.7,2.6,0.98,89,0.0
2016-01-20,C2,3.4,-1.5,1.3,1.51,54,0.0
2016-01-21,C2,5.0,-1.6,1.8,4.69,87,1.7
2016-01-22,C2,10.0,4.2,6.8,6.56,68,5.5
2016-01-23,C2,8.7,4.1,6.6,5.0,69,4.1
2016-01-24,C2,11.6,8.0,10.6,5.22,100,0.0
2016-01-25,C2,12.6,6.1,10.1,7.05,88,1.8
2016-01-26,C2,11.5,5.4,8.5,8.18,100,13.6
2016-01-27,C2,12.2,4.5,9.4,8.17,92,9.9
2016-01-28,C2,8.9,3.4,5.8,6.78,57,4.1
2016-01-29,C2,10.5,7.4,9.4,8.32,91,5.1
2016-01-30,C2,7.4,2.6,4.2,7.65,81,4.2
2016-01-31,C2,10.9,2.0,5.5,5.5,99,4.7
2016-02-01,C2,11.9,7.7,10.1,9.01,80,0.7
2016-02-02,C2,7.3,3.6,5.6,9.14,65,0.8
2016-02-03,C2,6.2,2.0,3.9,5.83,64,3.8
2016-02-04,C2,9.5,3.0,7.4,5.95,100,7.0
2016-02-05,C2,10.1,6.8,8.5,6.19,100,5.9
2016-02-06,C2,10.0,1.9,6.2,5.18,93,11.7
2016-02-07,C2,7.3,3.0,5.1,6.99,77,6.5
2016-02-08,C2,7.6,4.7,5.6,8.42,94,15.4
2016-02-09,C2,4.8,2.1,3.7,5.54,70,0.1
2016-02-10,C2,6.1,2.0,3.8,3.92,32,0.0
2016-02-11,C2,6.2,-0.6,2.6,2.35,56,0.0
2016-02-12,C2,6.2,-0.7,2.4,3.44,59,0.1
2016-02-13,C2,5.0,0.4,2.4,4.6,81,0.0
2016-02-14,C2,4.7,-0.5,2.2,4.54,60,0.0
2016-02-15,C2,5.1,-1.7,1.2,3.03,40,0.0
2016-02-16,C2,4.9,-3.0,1.2,5.19,71,1.8
2016-02-17,C2,4.5,1.5,3.7,5.15,100,15.7
2016-02-18,C2,5.6,-2.1,2.0,2.92,52,0.0
2016-02-19,C2,8.1,-0.6,3.7,5.46,81,3.8
2016-02-20,C2,7.8,5.6,6.9,8.16,99,6.6
2016-02-21,C2,11.9,6.7,9.3,8.16,100,5.3
2016-02-22,C2,6.4,3.1,4.5,5.37,58,1.6
2016-02-23,C2,6.3,-0.6,2.8,2.37,41,0.0
2016-02-24,C2,5.2,-0.1,2.1,2.14,30,0.0
2016-02-25,C2,4.9,-3.1,1.2,2.37,48,0.0
2016-02-26,C2,5.7,-0.5,2.3,2.71,100,0.0
2016-02-27,C2,5.9,-1.2,2.3,3.47,99,0.0
2016-02-28,C2,6.9,-1.1,2.7,3.24,70,0.0
2016-02-29,C2,5.1,-2.7,1.4,3.39,100,1.4
2016-03-01,C2,9.9,2.5,7.2,7.95,92,15.9
2016-03-02,C2,5.1,1.8,3.6,7.23,82,6.7
2016-03-03,C2,6.3,-0.9,3.7,4.09,86,2.7
2016-03-04,C2,2.5,0.8,1.7,4.31,100,21.3
2016-03-05,C2,5.5,0.0,2.8,4.01,51,2.0
2016-03-06,C2,4.1,-3.1,0.5,2.89,29,0.4
2016-03-07,C2,6.1,-4.4,0.3,2.68,20,0.0
2016-03-08,C2,6.6,-3.8,1.9,2.7,88,0.7
2016-03-09,C2,5.2,2.8,4.0,4.6,93,9.5
2016-03-10,C2,8.6,1.8,5.1,2.13,87,0.4
2016-03-11,C2,8.5,2.8,5.8,1.76,97,0.0
2016-03-12,C2,9.6,2.2,6.4,1.94,97,0.0
2016-03-13,C2,11.4,3.5,7.2,2.27,49,0.0
2016-03-14,C2,9.2,1.0,4.5,4.47,33,0.0
2016-03-15,C2,9.1,3.3,5.8,4.68,80,0.0
2016-03-16,C2,9.0,3.2,5.7,5.24,73,0.0
2016-03-17,C2,9.6,-0.4,4.4,2.34,23,0.0
2016-03-18,C2,8.4,-0.7,4.1,2.94,82,0.0
2016-03-19,C2,8.1,1.8,5.1,3.1,94,0.0
2016-03-20,C2,9.6,1.4,5.2,2.07,62,0.0
2016-03-21,C2,7.9,0.5,5.0,3.62,84,0.0
2016-03-22,C2,9.1,4.3,6.3,2.35,92,0.0
2016-03-23,C2,8.3,3.4,5.7,2.2,85,0.0
2016-03-24,C2,8.1,3.9,6.6,4.18,100,4.2
2016-03-25,C2,11.7,4.4,7.8,4.0,82,0.0
2016-03-26,C2,11.4,5.7,7.9,7.93,96,5.4
2016-03-27,C2,9.2,3.7,6.2,6.96,60,1.6
2016-03-28,C2,7.5,2.9,5.3,6.08,98,12.6
2016-03-29,C2,9.5,2.6,5.1,4.03,84,1.7
2016-03-30,C2,8.5,2.2,4.9,3.43,50,1.1
2016-03-31,C2,9.6,0.5,4.8,1.92,40,0.1
2016-04-01,C2,8.5,-0.4,5.1,5.05,90,2.2
2016-04-02,C2,10.6,6.5,7.7,4.37,93,9.3
2016-04-03,C2,12.2,5.5,9.0,3.05,96,3.7
2016-04-04,C2,12.4,4.6,9.2,2.55,89,9.2
2016-04-05,C2,10.1,4.1,7.4,4.81,65,0.3
2016-04-06,C2,8.5,4.5,6.1,6.92,74,8.8
2016-04-07,C2,10.4,4.2,6.8,5.83,76,4.9
2016-04-08,C2,11.0,3.4,7.3,1.95,96,1.1
2016-04-09,C2,9.8,3.1,6.2,2.99,80,7.2
2016-04-10,C2,11.7,-0.5,5.9,4.23,58,0.0
2016-04-11,C2,13.7,5.5,9.0,7.16,93,3.5
2016-04-12,C2,10.0,6.5,8.0,2.31,98,8.2
2016-04-13,C2,12.2,3.7,7.8,1.6,92,0.0
2016-04-14,C2,12.3,2.8,8.0,2.66,74,0.0
2016-04-15,C2,9.3,3.4,6.4,2.77,98,5.1
2016-04-16,C2,8.1,1.4,4.2,3.93,64,5.1
2016-04-17,C2,8.9,-0.0,4.9,3.12,40,0.0
2016-04-18,C2,10.0,5.0,7.7,6.23,72,0.6
2016-04-19,C2,12.6,2.4,8.0,1.78,16,0.0
2016-04-20,C2,14.2,1.3,8.4,2.35,1,0.0
2016-04-21,C2,14.6,1.8,8.6,3.46,78,0.0
2016-04-22,C2,9.9,4.4,7.1,4.44,90,0.0
2016-04-23,C2,9.0,0.5,5.3,3.38,44,0.2
2016-04-24,C2,8.6,0.7,5.1,2.94,86,2.5
2016-04-25,C2,9.6,2.9,6.4,4.39,61,2.8
2016-04-26,C2,7.9,0.6,4.2,4.77,43,1.0
2016-04-27,C2,8.2,-1.5,3.5,3.15,44,0.4
2016-04-28,C2,6.8,-0.9,3.2,4.04,88,7.1
2016-04-29,C2,7.3,1.0,3.9,5.86,89,5.5
2016-04-30,C2,8.6,-0.3,5.0,3.29,60,2.9
2016-05-01,C2,10.1,2.2,7.0,4.82,100,1.1
2016-05-02,C2,11.5,6.4,9.8,6.19,73,4.9
2016-05-03,C2,11.1,5.7,8.2,4.75,53,0.5
2016-05-04,C2,15.0,2.6,9.4,3.62,61,0.0
