date,location_id,temperature_max_c,temperature_min_c,temperature_mean_c,wind_speed_mean_ms,cloud_cover_pct,precipitation_mm
2016-01-01,C1,7.8,-0.4,4.6,4.37,76,1.1
2016-01-02,C1,10.1,7.6,9.2,6.46,94,5.7
2016-01-03,C1,9.5,5.5,7.7,5.66,88,11.3
2016-01-04,C1,9.3,5.3,6.9,4.25,67,0.9
2016-01-05,C1,9.5,3.6,6.9,2.87,89,0.7
2016-01-06,C1,6.3,2.8,4.5,1.55,93,1.1
2016-01-07,C1,10.1,3.7,6.7,6.55,59,11.2
2016-01-08,C1,8.8,1.6,4.9,4.25,33,0.2
2016-01-09,C1,9.6,6.3,8.1,6.01,95,7.2
2016-01-10,C1,7.8,4.4,6.1,5.83,91,0.0
2016-01-11,C1,6.7,4.6,5.7,4.1,98,6.8
2016-01-12,C1,6.3,3.4,4.8,6.45,54,0.9
2016-01-13,C1,5.6,1.6,3.8,4.93,80,1.1
2016-01-14,C1,4.6,1.0,3.0,6.41,59,1.6
2016-01-15,C1,4.3,0.1,1.7,5.44,18,0.0
2016-01-16,C1,3.7,-1.2,0.7,2.98,44,0.2
2016-01-17,C1,4.1,0.3,2.0,3.19,98,2.0
2016-01-18,C1,3.2,-2.6,1.9,4.0,97,0.0
2016-01-19,C1,2.6,-3.3,-0.7,1.43,36,0.0
2016-01-20,C1,2.9,-1.7,0.4,1.22,40,0.0
2016-01-21,C1,5.2,-2.4,1.4,3.85,80,0.0
2016-01-22,C1,10.3,3.1,6.3,5.57,76,5.2
2016-01-23,C1,10.6,2.6,6.5,4.5,72,2.8
2016-01-24,C1,11.7,7.3,10.6,5.14,100,1.0
2016-01-25,C1,13.1,8.3,10.6,5.97,75,0.0
2016-01-26,C1,10.9,5.5,8.7,7.83,97,1.8
2016-01-27,C1,12.1,7.7,11.0,8.25,100,2.6
2016-01-28,C1,8.6,1.0,5.6,5.12,45,0.0
2016-01-29,C1,11.0,8.6,10.3,8.96,100,0.2
2016-01-30,C1,10.3,4.2,7.1,6.69,77,5.3
2016-01-31,C1,12.3,2.1,7.4,5.53,100,1.5
2016-02-01,C1,12.8,9.6,11.1,8.41,88,0.0
2016-02-02,C1,9.4,4.4,7.6,6.93,49,0.4
2016-02-03,C1,7.4,2.0,4.4,5.68,42,0.2
2016-02-04,C1,11.7,2.5,7.7,5.31,95,0.6
2016-02-05,C1,10.4,7.7,9.0,6.18,100,0.2
2016-02-06,C1,11.0,8.7,9.7,9.05,100,6.4
2016-02-07,C1,9.0,4.4,6.9,7.44,63,5.8
2016-02-08,C1,9.6,5.9,7.7,10.06,53,3.4
2016-02-09,C1,6.6,3.1,4.7,5.28,67,0.9
2016-02-10,C1,7.5,0.5,4.3,4.62,54,0.0
2016-02-11,C1,7.4,-2.0,2.0,1.72,53,0.0
2016-02-12,C1,6.8,-0.4,2.8,3.23,45,0.6
2016-02-13,C1,5.2,0.2,3.0,4.78,89,4.0
2016-02-14,C1,6.0,1.2,3.5,5.08,83,0.5
2016-02-15,C1,5.7,-0.5,2.1,5.3,28,0.0
2016-02-16,C1,6.2,-2.2,1.6,2.66,46,0.0
2016-02-17,C1,6.7,1.9,3.9,4.51,100,4.7
2016-02-18,C1,7.1,-0.0,3.8,3.39,60,2.7
2016-02-19,C1,8.7,-2.3,3.5,4.84,46,1.2
2016-02-20,C1,11.6,7.8,9.6,7.36,100,0.6
2016-02-21,C1,12.1,10.7,11.2,8.17,100,0.0
2016-02-22,C1,10.7,4.7,8.1,4.31,94,1.7
2016-02-23,C1,7.9,0.8,3.8,2.78,28,0.5
2016-02-24,C1,6.5,-1.0,2.6,1.67,32,0.0
2016-02-25,C1,5.1,-3.5,0.8,2.35,52,0.0
2016-02-26,C1,6.9,-1.6,2.4,2.6,97,0.0
2016-02-27,C1,5.7,-0.6,2.9,5.03,100,0.0
2016-02-28,C1,6.9,2.4,4.2,5.75,87,0.0
2016-02-29,C1,6.5,-0.7,3.4,2.61,73,0.0
2016-03-01,C1,11.2,4.0,7.7,6.56,100,3.3
2016-03-02,C1,7.8,3.0,5.3,7.43,72,4.5
2016-03-03,C1,8.2,3.4,5.6,5.49,89,0.6
2016-03-04,C1,7.0,1.1,4.2,3.98,51,5.3
2016-03-05,C1,7.1,-3.0,2.0,4.23,64,2.1
2016-03-06,C1,6.4,-0.7,2.3,3.56,44,0.6
2016-03-07,C1,6.2,-2.1,1.6,4.02,15,0.1
2016-03-08,C1,7.5,-3.5,2.5,3.47,73,0.0
2016-03-09,C1,9.2,5.7,7.2,4.99,89,14.7
2016-03-10,C1,9.4,2.7,6.2,2.52,80,0.4
2016-03-11,C1,7.3,-1.8,2.7,1.85,64,0.0
2016-03-12,C1,9.6,0.6,4.9,1.18,94,0.0
2016-03-13,C1,7.8,-0.6,3.8,3.56,32,0.0
2016-03-14,C1,7.8,2.7,4.6,5.52,33,0.0
2016-03-15,C1,8.9,1.3,5.4,4.26,81,0.0
2016-03-16,C1,7.5,5.2,6.1,5.38,89,0.0
2016-03-17,C1,10.0,1.4,5.7,3.66,9,0.0
2016-03-18,C1,7.6,-0.3,3.8,3.44,80,0.0
2016-03-19,C1,7.8,4.0,5.7,4.42,90,0.0
2016-03-20,C1,9.0,3.5,6.0,3.3,84,0.0
2016-03-21,C1,11.4,3.5,7.3,2.51,80,0.0
2016-03-22,C1,11.1,1.7,6.9,1.7,36,0.0
2016-03-23,C1,10.3,3.8,7.5,1.37,83,0.0
2016-03-24,C1,9.7,4.5,7.3,4.26,100,5.1
2016-03-25,C1,13.1,6.4,9.3,3.74,77,3.5
